awardYear,category,motivation,name,gender,birth date,birth_continent,birth_countryNow,death_date
1987,Chemistry,for their development and use of molecules with structure-specific interactions of high selectivity,Donald J. Cram,male,22.4.1919,North America,USA,17.6.2001
1987,Physics,for their important break-through in the discovery of superconductivity in ceramic materials,J. Georg Bednorz,male,16.5.1950,Europe,Germany,
1987,Chemistry,for their development and use of molecules with structure-specific interactions of high selectivity,Jean-Marie Lehn,male,30.9.1939,Europe,France,
1987,Literature,"for an all-embracing authorship, imbued with clarity of thought and poetic intensity",Joseph Brodsky,male,24.5.1940,Europe,Russia,28.1.1996
1987,Physics,for their important break-through in the discovery of superconductivity in ceramic materials,K. Alex Müller,male,20.4.1927,Europe,Switzerland,
1987,Peace,for his work for lasting peace in Central America,Oscar Arias Sánchez,male,13.9.1940,North America,Costa Rica,
1987,Economic Sciences,for his contributions to the theory of economic growth,Robert M. Solow,male,23.8.1924,North America,USA,
1987,Physiology or Medicine,for his discovery of the genetic principle for generation of antibody diversity,Susumu Tonegawa,male,5.9.1939,Asia,Japan,
1988,Physiology or Medicine,for their discoveries of important principles for drug treatment,George H. Hitchings,male,18.4.1905,North America,USA,27.2.1998
1988,Physiology or Medicine,for their discoveries of important principles for drug treatment,Gertrude B. Elion,female,23.1.1918,North America,USA,21.2.1999
1988,Chemistry,for the determination of the three-dimensional structure of a photosynthetic reaction centre,Hartmut Michel,male,18.7.1948,Europe,Germany,
1988,Physics,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,Jack Steinberger,male,25.5.1921,Europe,Germany,
1988,Chemistry,for the determination of the three-dimensional structure of a photosynthetic reaction centre,Johann Deisenhofer,male,30.9.1943,Europe,Germany,
1988,Physics,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,Leon M. Lederman,male,15.7.1922,North America,USA,3.10.2018
1988,Economic Sciences,for his pioneering contributions to the theory of markets and efficient utilization of resources,Maurice Allais,male,31.5.1911,Europe,France,9.10.2010
1988,Physics,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,Melvin Schwartz,male,2.11.1932,North America,USA,28.8.2006
1988,Literature,"who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind",Naguib Mahfouz,male,11.12.1911,Africa,Egypt,30.8.2006
1988,Chemistry,for the determination of the three-dimensional structure of a photosynthetic reaction centre,Robert Huber,male,20.2.1937,Europe,Germany,
1988,Physiology or Medicine,for their discoveries of important principles for drug treatment,Sir James W. Black,male,14.6.1924,Europe,Scotland,21.3.2010
1988,Peace,for preventing armed clashes and creating conditions for negotiations,United Nations Peacekeeping Forces,,,,,
1989,Literature,"for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability",Camilo José Cela,male,11.5.1916,Europe,Spain,17.1.2002
1989,Physics,for the development of the ion trap technique,Hans G. Dehmelt,male,9.9.1922,Europe,Germany,7.3.2017
1989,Physiology or Medicine,for their discovery of the cellular origin of retroviral oncogenes,Harold E. Varmus,male,18.12.1939,North America,USA,
1989,Physiology or Medicine,for their discovery of the cellular origin of retroviral oncogenes,J. Michael Bishop,male,22.2.1936,North America,USA,
1989,Physics,for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks,Norman F. Ramsey,male,27.8.1915,North America,USA,4.11.2011
1989,Chemistry,for their discovery of catalytic properties of RNA,Sidney Altman,male,7.5.1939,North America,Canada,
1989,Peace,for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people,The 14th Dalai Lama,male,6.7.1935,Asia,China,
1989,Chemistry,for their discovery of catalytic properties of RNA,Thomas R. Cech,male,8.12.1947,North America,USA,
1989,Economic Sciences,for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures,Trygve Haavelmo,male,13.12.1911,Europe,Norway,26.7.1999
1989,Physics,for the development of the ion trap technique,Wolfgang Paul,male,10.8.1913,Europe,Germany,7.12.1993
1990,Physiology or Medicine,for their discoveries concerning organ and cell transplantation in the treatment of human disease,E. Donnall Thomas,male,15.3.1920,North America,USA,20.10.2012
1990,Chemistry,for his development of the theory and methodology of organic synthesis,Elias James Corey,male,12.7.1928,North America,USA,
1990,Economic Sciences,for their pioneering work in the theory of financial economics,Harry M. Markowitz,male,24.8.1927,North America,USA,
1990,Physics,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",Henry W. Kendall,male,9.12.1926,North America,USA,15.2.1999
1990,Physics,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",Jerome I. Friedman,male,28.3.1930,North America,USA,
1990,Physiology or Medicine,for their discoveries concerning organ and cell transplantation in the treatment of human disease,Joseph E. Murray,male,1.4.1919,North America,USA,26.11.2012
1990,Economic Sciences,for their pioneering work in the theory of financial economics,Merton H. Miller,male,16.5.1923,North America,USA,3.6.2000
1990,Peace,for the leading role he played in the radical changes in East-West relations,Mikhail Gorbachev,male,2.3.1931,Europe,Russia,
1990,Literature,"for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity",Octavio Paz,male,31.3.1914,North America,Mexico,19.4.1998
1990,Physics,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",Richard E. Taylor,male,2.11.1929,North America,Canada,22.2.2018
1990,Economic Sciences,for their pioneering work in the theory of financial economics,William F. Sharpe,male,16.6.1934,North America,USA,
1991,Peace,for her non-violent struggle for democracy and human rights,Aung San Suu Kyi,female,19.6.1945,Asia,Myanmar,
1991,Physiology or Medicine,for their discoveries concerning the function of single ion channels in cells,Bert Sakmann,male,12.6.1942,Europe,Germany,
1991,Physiology or Medicine,for their discoveries concerning the function of single ion channels in cells,Erwin Neher,male,20.3.1944,Europe,Germany,
1991,Literature,who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity,Nadine Gordimer,female,20.11.1923,Africa,South Africa,13.7.2014
1991,Physics,"for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers",Pierre-Gilles de Gennes,male,24.10.1932,Europe,France,18.5.2007
1991,Chemistry,for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy,Richard R. Ernst,male,14.8.1933,Europe,Switzerland,
1991,Economic Sciences,for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy,Ronald H. Coase,male,29.12.1910,Europe,United Kingdom,2.9.2013
1992,Literature,"for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment",Derek Walcott,male,23.1.1930,North America,Saint Lucia,17.3.2017
1992,Physiology or Medicine,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism,Edmond H. Fischer,male,6.4.1920,Asia,China,
1992,Physiology or Medicine,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism,Edwin G. Krebs,male,6.6.1918,North America,USA,21.12.2009
1992,Economic Sciences,"for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour",Gary Becker,male,2.12.1930,North America,USA,3.5.2014
1992,Physics,"for his invention and development of particle detectors, in particular the multiwire proportional chamber",Georges Charpak,male,1.8.1924,Europe,Poland,29.9.2010
1992,Peace,for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples,Rigoberta Menchú Tum,female,9.1.1959,North America,Guatemala,
1992,Chemistry,for his contributions to the theory of electron transfer reactions in chemical systems,Rudolph A. Marcus,male,21.7.1923,North America,Canada,
1993,Economic Sciences,for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change,Douglass C. North,male,5.11.1920,North America,USA,23.11.2015
1993,Peace,"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa",F.W. de Klerk,male,18.3.1936,Africa,South Africa,
1993,Physics,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation",Joseph H. Taylor Jr.,male,29.3.1941,North America,USA,
1993,Chemistry,for his invention of the polymerase chain reaction (PCR) method,Kary B. Mullis,male,28.12.1944,North America,USA,7.8.2019
1993,Chemistry,"for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies",Michael Smith,male,26.4.1932,Europe,United Kingdom,4.10.2000
1993,Peace,"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa",Nelson Mandela,male,18.7.1918,Africa,South Africa,5.12.2013
1993,Physiology or Medicine,for their discoveries of split genes,Phillip A. Sharp,male,6.6.1944,North America,USA,
1993,Physiology or Medicine,for their discoveries of split genes,Richard J. Roberts,male,6.9.1943,Europe,United Kingdom,
1993,Economic Sciences,for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change,Robert W. Fogel,male,1.7.1927,North America,USA,11.6.2013
1993,Physics,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation",Russell A. Hulse,male,28.11.1950,North America,USA,
1993,Literature,"who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality",Toni Morrison,female,18.2.1931,North America,USA,5.8.2019
1994,Physiology or Medicine,for their discovery of G-proteins and the role of these proteins in signal transduction in cells,Alfred G. Gilman,male,1.7.1941,North America,USA,23.12.2015
1994,Physics,for the development of neutron spectroscopy,Bertram N. Brockhouse,male,15.7.1918,North America,Canada,13.10.2003
1994,Physics,for the development of the neutron diffraction technique,Clifford G. Shull,male,23.9.1915,North America,USA,31.3.2001
1994,Chemistry,for his contribution to carbocation chemistry,George A. Olah,male,22.5.1927,Europe,Hungary,8.3.2017
1994,Economic Sciences,for their pioneering analysis of equilibria in the theory of non-cooperative games,John C. Harsanyi,male,29.5.1920,Europe,Hungary,9.8.2000
1994,Economic Sciences,for their pioneering analysis of equilibria in the theory of non-cooperative games,John F. Nash Jr.,male,13.6.1928,North America,USA,23.5.2015
1994,Literature,"who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today",Kenzaburo Oe,male,31.1.1935,Asia,Japan,
1994,Physiology or Medicine,for their discovery of G-proteins and the role of these proteins in signal transduction in cells,Martin Rodbell,male,1.12.1925,North America,USA,7.12.1998
1994,Economic Sciences,for their pioneering analysis of equilibria in the theory of non-cooperative games,Reinhard Selten,male,5.10.1930,Europe,Poland,23.8.2016
1994,Peace,for their efforts to create peace in the Middle East,Shimon Peres,male,16.8.1923,Europe,Belarus,28.9.2016
1994,Peace,for their efforts to create peace in the Middle East,Yasser Arafat,male,24.8.1929,Africa,Egypt,11.11.2004
1994,Peace,for their efforts to create peace in the Middle East,Yitzhak Rabin,male,1.3.1922,Asia,Israel,4.11.1995
1995,Physiology or Medicine,for their discoveries concerning the genetic control of early embryonic development,Christiane Nüsslein-Volhard,female,20.10.1942,Europe,Germany,
1995,Physiology or Medicine,for their discoveries concerning the genetic control of early embryonic development,Edward B. Lewis,male,20.5.1918,North America,USA,21.7.2004
1995,Physiology or Medicine,for their discoveries concerning the genetic control of early embryonic development,Eric F. Wieschaus,male,8.6.1947,North America,USA,
1995,Chemistry,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone",F. Sherwood Rowland,male,28.6.1927,North America,USA,10.3.2012
1995,Physics,for the detection of the neutrino,Frederick Reines,male,16.3.1918,North America,USA,26.8.1998
1995,Peace,"for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms",Joseph Rotblat,male,4.11.1908,Europe,Poland,31.8.2005
1995,Chemistry,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone",Mario J. Molina,male,19.3.1943,North America,Mexico,
1995,Physics,for the discovery of the tau lepton,Martin L. Perl,male,24.6.1927,North America,USA,30.9.2014
1995,Chemistry,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone",Paul J. Crutzen,male,3.12.1933,Europe,the Netherlands,
1995,Peace,"for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms",Pugwash Conferences on Science and World Affairs,,,,,
1995,Economic Sciences,"for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy",Robert E. Lucas Jr.,male,15.9.1937,North America,USA,
1995,Literature,"for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past",Seamus Heaney,male,13.4.1939,Europe,Northern Ireland,30.8.2013
1996,Peace,for their work towards a just and peaceful solution to the conflict in East Timor,Carlos Filipe Ximenes Belo,male,3.2.1948,Oceania,East Timor,
1996,Physics,for their discovery of superfluidity in helium-3,David M. Lee,male,20.1.1931,North America,USA,
1996,Physics,for their discovery of superfluidity in helium-3,Douglas D. Osheroff,male,1.8.1945,North America,USA,
1996,Economic Sciences,for their fundamental contributions to the economic theory of incentives under asymmetric information,James A. Mirrlees,male,5.7.1936,Europe,Scotland,29.8.2018
1996,Peace,for their work towards a just and peaceful solution to the conflict in East Timor,José Ramos-Horta,male,26.12.1949,Oceania,East Timor,
1996,Physiology or Medicine,for their discoveries concerning the specificity of the cell mediated immune defence,Peter C. Doherty,male,15.10.1940,Oceania,Australia,
1996,Chemistry,for their discovery of fullerenes,Richard E. Smalley,male,6.6.1943,North America,USA,28.10.2005
1996,Physics,for their discovery of superfluidity in helium-3,Robert C. Richardson,male,26.6.1937,North America,USA,19.2.2013
1996,Chemistry,for their discovery of fullerenes,Robert F. Curl Jr.,male,23.8.1933,North America,USA,
1996,Physiology or Medicine,for their discoveries concerning the specificity of the cell mediated immune defence,Rolf M. Zinkernagel,male,6.1.1944,Europe,Switzerland,
1996,Chemistry,for their discovery of fullerenes,Sir Harold Kroto,male,7.10.1939,Europe,United Kingdom,30.4.2016
1996,Economic Sciences,for their fundamental contributions to the economic theory of incentives under asymmetric information,William Vickrey,male,21.6.1914,North America,Canada,11.10.1996
1996,Literature,for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality,Wislawa Szymborska,female,2.7.1923,Europe,Poland,1.2.2012
1997,Physics,for development of methods to cool and trap atoms with laser light,Claude Cohen-Tannoudji,male,1.4.1933,Africa,Algeria,
1997,Literature,who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden,Dario Fo,male,24.3.1926,Europe,Italy,13.10.2016
1997,Peace,for their efforts to ban and remove anti-personnel landmines,International Campaign to Ban Landmines,,,,,
1997,Chemistry,"for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase",Jens C. Skou,male,8.10.1918,Europe,Denmark,28.5.2018
1997,Peace,for their work for the banning and clearing of anti-personnel mines,Jody Williams,female,9.10.1950,North America,USA,
1997,Chemistry,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP),John E. Walker,male,7.1.1941,Europe,United Kingdom,
1997,Economic Sciences,for a new method to determine the value of derivatives,Myron Scholes,male,1.7.1941,North America,Canada,
1997,Chemistry,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP),Paul D. Boyer,male,31.7.1918,North America,USA,2.6.2018
1997,Economic Sciences,for a new method to determine the value of derivatives,Robert C. Merton,male,31.7.1944,North America,USA,
1997,Physiology or Medicine,for his discovery of Prions - a new biological principle of infection,Stanley B. Prusiner,male,28.5.1942,North America,USA,
1997,Physics,for development of methods to cool and trap atoms with laser light,Steven Chu,male,28.2.1948,North America,USA,
1997,Physics,for development of methods to cool and trap atoms with laser light,William D. Phillips,male,5.11.1948,North America,USA,
1998,Economic Sciences,for his contributions to welfare economics,Amartya Sen,male,3.11.1933,Asia,India,
1998,Physics,for their discovery of a new form of quantum fluid with fractionally charged excitations,Daniel C. Tsui,male,28.2.1939,Asia,China,
1998,Peace,for their efforts to find a peaceful solution to the conflict in Northern Ireland,David Trimble,male,15.10.1944,Europe,Northern Ireland,
1998,Physiology or Medicine,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,Ferid Murad,male,14.9.1936,North America,USA,
1998,Physics,for their discovery of a new form of quantum fluid with fractionally charged excitations,Horst L. Störmer,male,6.4.1949,Europe,Germany,
1998,Peace,for their efforts to find a peaceful solution to the conflict in Northern Ireland,John Hume,male,18.1.1937,Europe,Northern Ireland,
1998,Chemistry,for his development of computational methods in quantum chemistry,John Pople,male,31.10.1925,Europe,United Kingdom,15.3.2004
1998,Literature,"who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality",José Saramago,male,16.11.1922,Europe,Portugal,18.6.2010
1998,Physiology or Medicine,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,Louis J. Ignarro,male,31.5.1941,North America,USA,
1998,Physics,for their discovery of a new form of quantum fluid with fractionally charged excitations,Robert B. Laughlin,male,1.11.1950,North America,USA,
1998,Physiology or Medicine,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,Robert F. Furchgott,male,4.6.1916,North America,USA,19.5.2009
1998,Chemistry,for his development of the density-functional theory,Walter Kohn,male,9.3.1923,Europe,Austria,19.4.2016
1999,Chemistry,for his studies of the transition states of chemical reactions using femtosecond spectroscopy,Ahmed Zewail,male,26.2.1946,Africa,Egypt,2.8.2016
1999,Physics,for elucidating the quantum structure of electroweak interactions in physics,Gerardus 't Hooft,male,5.7.1946,Europe,the Netherlands,
1999,Physiology or Medicine,for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell,Günter Blobel,male,21.5.1936,Europe,Poland,18.2.2018
1999,Literature,whose frolicsome black fables portray the forgotten face of history,Günter Grass,male,16.10.1927,Europe,Poland,13.4.2015
1999,Physics,for elucidating the quantum structure of electroweak interactions in physics,Martinus J.G. Veltman,male,27.6.1931,Europe,the Netherlands,
1999,Peace,in recognition of the organisation's pioneering humanitarian work on several continents,Médecins Sans Frontières,,,,,
1999,Economic Sciences,for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas,Robert Mundell,male,24.10.1932,North America,Canada,
2000,Chemistry,for the discovery and development of conductive polymers,Alan Heeger,male,22.1.1936,North America,USA,
2000,Chemistry,for the discovery and development of conductive polymers,Alan MacDiarmid,male,14.4.1927,Oceania,New Zealand,7.2.2007
2000,Physiology or Medicine,for their discoveries concerning signal transduction in the nervous system,Arvid Carlsson,male,25.1.1923,Europe,Sweden,29.6.2018
2000,Economic Sciences,for his development of theory and methods for analyzing discrete choice,Daniel L. McFadden,male,29.7.1937,North America,USA,
2000,Physiology or Medicine,for their discoveries concerning signal transduction in the nervous system,Eric Kandel,male,7.11.1929,Europe,Austria,
2000,Literature,"for an &aelig;uvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama",Gao Xingjian,male,4.1.1940,Asia,China,
2000,Physics,for developing semiconductor heterostructures used in high-speed- and opto-electronics,Herbert Kroemer,male,25.8.1928,Europe,Germany,
2000,Chemistry,for the discovery and development of conductive polymers,Hideki Shirakawa,male,20.8.1936,Asia,Japan,
2000,Physics,for his part in the invention of the integrated circuit,Jack Kilby,male,8.11.1923,North America,USA,20.6.2005
2000,Economic Sciences,for his development of theory and methods for analyzing selective samples,James J. Heckman,male,19.4.1944,North America,USA,
2000,Peace,"for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular",Kim Dae-jung,male,3.12.1925,Asia,South Korea,18.8.2009
2000,Physiology or Medicine,for their discoveries concerning signal transduction in the nervous system,Paul Greengard,male,11.12.1925,North America,USA,13.4.2019
2000,Physics,for developing semiconductor heterostructures used in high-speed- and opto-electronics,Zhores Alferov,male,15.3.1930,Europe,Belarus,1.3.2019
2001,Economic Sciences,for their analyses of markets with asymmetric information,A. Michael Spence,male,0.0.1943,North America,USA,
2001,Chemistry,for his work on chirally catalysed oxidation reactions,Barry Sharpless,male,28.4.1941,North America,USA,
2001,Physics,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates",Carl Wieman,male,26.3.1951,North America,USA,
2001,Physics,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates",Eric Cornell,male,19.12.1961,North America,USA,
2001,Economic Sciences,for their analyses of markets with asymmetric information,George A. Akerlof,male,17.6.1940,North America,USA,
2001,Economic Sciences,for their analyses of markets with asymmetric information,Joseph E. Stiglitz,male,9.2.1943,North America,USA,
2001,Peace,for their work for a better organized and more peaceful world,Kofi Annan,male,8.4.1938,Africa,Ghana,18.8.2018
2001,Physiology or Medicine,for their discoveries of key regulators of the cell cycle,Leland Hartwell,male,30.10.1939,North America,USA,
2001,Chemistry,for their work on chirally catalysed hydrogenation reactions,Ryoji Noyori,male,3.9.1938,Asia,Japan,
2001,Physiology or Medicine,for their discoveries of key regulators of the cell cycle,Sir Paul Nurse,male,25.1.1949,Europe,United Kingdom,
2001,Physiology or Medicine,for their discoveries of key regulators of the cell cycle,Tim Hunt,male,19.2.1943,Europe,United Kingdom,
2001,Peace,for their work for a better organized and more peaceful world,United Nations,,,,,
2001,Literature,for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories,V. S. Naipaul,male,17.8.1932,North America,Trinidad and Tobago,11.8.2018
2001,Chemistry,for their work on chirally catalysed hydrogenation reactions,William Knowles,male,1.6.1917,North America,USA,13.6.2012
2001,Physics,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates",Wolfgang Ketterle,male,21.10.1957,Europe,Germany,
2002,Economic Sciences,"for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty",Daniel Kahneman,male,5.3.1934,Asia,Israel,
2002,Physiology or Medicine,for their discoveries concerning genetic regulation of organ development and programmed cell death',H. Robert Horvitz,male,8.5.1947,North America,USA,
2002,Literature,for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history,Imre Kertész,male,9.11.1929,Europe,Hungary,31.3.2016
2002,Peace,"for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development",Jimmy Carter,male,1.10.1924,North America,USA,
2002,Chemistry,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules,John B. Fenn,male,15.6.1917,North America,USA,10.12.2010
2002,Physiology or Medicine,for their discoveries concerning genetic regulation of organ development and programmed cell death',John E. Sulston,male,27.3.1942,Europe,United Kingdom,6.3.2018
2002,Chemistry,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules,Koichi Tanaka,male,3.8.1959,Asia,Japan,
2002,Chemistry,for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution,Kurt Wüthrich,male,4.10.1938,Europe,Switzerland,
2002,Physics,"for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos",Masatoshi Koshiba,male,19.9.1926,Asia,Japan,
2002,Physics,"for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos",Raymond Davis Jr.,male,14.10.1914,North America,USA,31.5.2006
2002,Physics,"for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources",Riccardo Giacconi,male,6.10.1931,Europe,Italy,16.12.2018
2002,Physiology or Medicine,for their discoveries concerning genetic regulation of organ development and programmed cell death',Sydney Brenner,male,13.1.1927,Africa,South Africa,5.4.2019
2002,Economic Sciences,"for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms",Vernon L. Smith,male,1.1.1927,North America,USA,
2003,Physics,for pioneering contributions to the theory of superconductors and superfluids,Alexei Abrikosov,male,25.6.1928,Europe,Russia,29.3.2017
2003,Physics,for pioneering contributions to the theory of superconductors and superfluids,Anthony J. Leggett,male,26.3.1938,Europe,United Kingdom,
2003,Economic Sciences,for methods of analyzing economic time series with common trends (cointegration),Clive W.J. Granger,male,4.9.1934,Europe,United Kingdom,27.5.2009
2003,Literature,who in innumerable guises portrays the surprising involvement of the outsider,J. M. Coetzee,male,9.2.1940,Africa,South Africa,
2003,Physiology or Medicine,for their discoveries concerning magnetic resonance imaging,Paul C. Lauterbur,male,6.5.1929,North America,USA,27.3.2007
2003,Chemistry,for the discovery of water channels,Peter Agre,male,30.1.1949,North America,USA,
2003,Economic Sciences,for methods of analyzing economic time series with time-varying volatility (ARCH),Robert F. Engle III,male,10.11.1942,North America,USA,
2003,Chemistry,for structural and mechanistic studies of ion channels,Roderick MacKinnon,male,19.2.1956,North America,USA,
2003,Peace,for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children,Shirin Ebadi,female,21.6.1947,Asia,Iran,
2003,Physiology or Medicine,for their discoveries concerning magnetic resonance imaging,Sir Peter Mansfield,male,9.10.1933,Europe,United Kingdom,8.2.2017
2003,Physics,for pioneering contributions to the theory of superconductors and superfluids,Vitaly L. Ginzburg,male,4.10.1916,Europe,Russia,8.11.2009
2004,Chemistry,for the discovery of ubiquitin-mediated protein degradation,Aaron Ciechanover,male,1.10.1947,Asia,Israel,
2004,Chemistry,for the discovery of ubiquitin-mediated protein degradation,Avram Hershko,male,31.12.1937,Europe,Hungary,
2004,Physics,for the discovery of asymptotic freedom in the theory of the strong interaction,David J. Gross,male,19.2.1941,North America,USA,
2004,Economic Sciences,for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles,Edward C. Prescott,male,26.12.1940,North America,USA,
2004,Literature,for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power,Elfriede Jelinek,female,20.10.1946,Europe,Austria,
2004,Economic Sciences,for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles,Finn E. Kydland,male,1.12.1943,Europe,Norway,
2004,Physics,for the discovery of asymptotic freedom in the theory of the strong interaction,Frank Wilczek,male,15.5.1951,North America,USA,
2004,Physics,for the discovery of asymptotic freedom in the theory of the strong interaction,H. David Politzer,male,31.8.1949,North America,USA,
2004,Chemistry,for the discovery of ubiquitin-mediated protein degradation,Irwin Rose,male,16.7.1926,North America,USA,3.6.2015
2004,Physiology or Medicine,for their discoveries of odorant receptors and the organization of the olfactory system,Linda B. Buck,female,29.1.1947,North America,USA,
2004,Physiology or Medicine,for their discoveries of odorant receptors and the organization of the olfactory system,Richard Axel,male,2.7.1946,North America,USA,
2004,Peace,"for her contribution to sustainable development, democracy and peace",Wangari Maathai,female,1.4.1940,Africa,Kenya,25.9.2011
2005,Physiology or Medicine,for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease,Barry J. Marshall,male,30.9.1951,Oceania,Australia,
2005,Literature,who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms,Harold Pinter,male,10.10.1930,Europe,United Kingdom,24.12.2008
2005,Peace,for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way,International Atomic Energy Agency,,,,,
2005,Physiology or Medicine,for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease,J. Robin Warren,male,11.6.1937,Oceania,Australia,
2005,Physics,"for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique",John L. Hall,male,21.8.1934,North America,USA,
2005,Peace,for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way,Mohamed ElBaradei,male,17.6.1942,Africa,Egypt,
2005,Chemistry,for the development of the metathesis method in organic synthesis,Richard R. Schrock,male,4.1.1945,North America,USA,
2005,Chemistry,for the development of the metathesis method in organic synthesis,Robert H. Grubbs,male,27.2.1942,North America,USA,
2005,Economic Sciences,for having enhanced our understanding of conflict and cooperation through game-theory analysis,Robert J. Aumann,male,8.6.1930,Europe,Germany,
2005,Physics,for his contribution to the quantum theory of optical coherence,Roy J. Glauber,male,1.9.1925,North America,USA,26.12.2018
